,track_id,genre_top
0,2,Hip-Hop
1,5,Hip-Hop
2,10,Pop
3,140,Folk
4,141,Folk
5,148,Experimental
6,182,Rock
7,190,Folk
8,193,Folk
9,194,Folk
10,197,Folk
11,200,Folk
12,203,Folk
13,204,Folk
14,207,Folk
15,210,Folk
16,211,Folk
17,212,Folk
18,213,Pop
19,255,Rock
20,256,Rock
21,368,Rock
22,424,Experimental
23,459,Rock
24,534,Folk
25,540,Folk
26,546,Folk
27,574,Rock
28,602,Folk
29,615,Experimental
30,620,Folk
31,621,Folk
32,625,Folk
33,666,International
34,667,International
35,676,Hip-Hop
36,690,Rock
37,694,Hip-Hop
38,695,Hip-Hop
39,704,International
40,705,International
41,706,International
42,707,International
43,708,International
44,709,International
45,714,Folk
46,715,Folk
47,716,Folk
48,718,Folk
49,777,Rock
50,814,Folk
51,821,Pop
52,822,Pop
53,825,Rock
54,853,International
55,890,Folk
56,892,Folk
57,897,Experimental
58,993,Rock
59,995,Experimental
60,997,Experimental
61,998,Experimental
62,1039,Rock
63,1040,Rock
64,1066,Experimental
65,1069,Experimental
66,1073,Experimental
67,1075,Experimental
68,1082,International
69,1083,Experimental
70,1087,Rock
71,1102,Rock
72,1193,Folk
73,1195,Folk
74,1196,Folk
75,1197,Folk
76,1249,Experimental
77,1259,Experimental
78,1270,Rock
79,1276,Experimental
80,1277,Experimental
81,1278,Experimental
82,1417,Rock
83,1427,Rock
84,1443,Experimental
85,1482,Electronic
86,1510,Experimental
87,1544,Folk
88,1642,Pop
89,1644,Pop
90,1649,Pop
91,1661,Pop
92,1663,Pop
93,1666,Pop
94,1673,Experimental
95,1680,International
96,1681,International
97,1682,International
98,1683,International
99,1684,International
100,1685,International
101,1686,International
102,1687,International
103,1688,International
104,1689,International
105,1701,Folk
106,1702,Folk
107,1703,Folk
108,1704,Folk
109,1706,Rock
110,1720,Rock
111,1732,Experimental
112,1733,Experimental
113,1735,Experimental
114,1736,Experimental
115,1883,Rock
116,1891,Rock
117,1893,Folk
118,1924,Folk
119,1925,Folk
120,1929,Experimental
121,1930,Rock
122,2012,Experimental
123,2096,Experimental
124,2097,Folk
125,2099,Pop
126,3263,Folk
127,3264,Folk
128,3265,Folk
129,3266,Folk
130,3270,Folk
131,3271,Folk
132,3272,Folk
133,3273,Folk
134,3274,Folk
135,3492,Rock
136,3532,Pop
137,3533,Pop
138,3534,Pop
139,3535,Pop
140,3537,Pop
141,3538,Pop
142,3573,Electronic
143,3598,Folk
144,3624,Rock
145,3707,Folk
146,3708,Folk
147,3720,Rock
148,3721,Rock
149,3722,Rock
150,3724,Rock
151,3725,Rock
152,3761,Rock
153,3762,Rock
154,3763,Rock
155,3765,Rock
156,3766,Rock
157,3775,International
158,3776,International
159,3777,International
160,3778,International
161,3779,International
162,3832,Folk
163,3833,Rock
164,3840,Rock
165,3880,Folk
166,3895,International
167,3896,International
168,3904,Folk
169,3905,Folk
170,3906,Folk
171,3908,Folk
172,3909,Folk
173,3910,Folk
174,3911,Folk
175,3912,Folk
176,3913,Folk
177,3920,Folk
178,3921,Folk
179,3950,Rock
180,4013,Folk
181,4017,Folk
182,4022,Rock
183,4037,Folk
184,4066,Folk
185,4067,Folk
186,4068,Folk
187,4069,Folk
188,4070,International
189,4071,International
190,4072,International
191,4073,International
192,4074,International
193,4075,International
194,4076,International
195,4077,International
196,4078,International
197,4079,International
198,4080,International
199,4091,International
200,4092,International
201,4093,International
202,4094,International
203,4095,International
204,4096,International
205,4097,International
206,4098,International
207,4099,International
208,4100,International
209,4101,International
210,4102,International
211,4103,International
212,4108,Rock
213,4232,International
214,4233,International
215,4234,International
216,4235,International
217,4236,International
218,4239,International
219,4450,Folk
220,4507,International
221,4508,International
222,4509,International
223,4510,International
224,4511,International
225,4519,Electronic
226,4520,Electronic
227,4521,Electronic
228,4522,Electronic
229,4682,Hip-Hop
230,4684,Hip-Hop
231,4685,Hip-Hop
232,4688,Hip-Hop
233,4777,Rock
234,4778,Rock
235,4779,Rock
236,4780,Rock
237,4781,Rock
238,4782,Rock
239,4784,Rock
240,4785,Rock
241,4786,Rock
242,4787,Rock
243,4788,Rock
244,4799,Rock
245,4835,Rock
246,4836,Rock
247,4838,Rock
248,4846,International
249,4848,International
250,4849,International
251,5006,Rock
252,5156,Folk
253,5157,Folk
254,5158,Folk
255,5159,Folk
256,5169,Folk
257,5170,Folk
258,5171,Folk
259,5191,Pop
260,5264,Hip-Hop
261,5268,Hip-Hop
262,5376,Folk
263,5381,Folk
264,5521,Experimental
265,5879,Folk
266,5936,Folk
267,5940,Folk
268,6329,International
269,6330,International
270,6331,International
271,6332,International
272,6333,International
273,6342,International
274,6354,International
275,6357,International
276,6358,International
277,6360,International
278,6363,International
279,6366,International
280,6367,International
281,6368,International
282,6370,International
283,6372,International
284,6373,International
285,6376,International
286,6379,International
287,6380,International
288,6381,International
289,6382,International
290,6383,International
291,6385,International
292,6387,International
293,6389,International
294,6390,International
295,6393,International
296,6394,International
297,6396,International
298,6406,Folk
299,6407,Folk
300,6439,Hip-Hop
301,6440,Hip-Hop
